FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
394,750,0.0,1997-05-01
414,750,0.0,1997-05-01
415,750,0.0,1997-05-01
416,750,0.0,1997-05-01
417,750,0.0,1997-05-01
418,750,0.0,1997-05-01
419,750,0.0,1997-05-01
420,750,0.0,1997-05-01
422,750,0.0,1997-05-01
423,750,0.0,1997-05-01
424,750,0.0,1997-05-01
426,750,0.0,1997-05-01
428,750,0.0,1997-05-01
429,750,0.0,1997-05-01
430,750,0.0,1997-05-01
432,750,0.0,1997-05-01
433,750,0.0,1997-05-01
434,750,0.0,1997-05-01
435,750,0.0,1997-05-01
436,750,0.0,1997-05-01
437,750,0.0,1997-05-01
438,750,0.0,1997-05-01
439,750,0.0,1997-05-01
440,750,0.0,1997-05-01
441,750,0.0,1997-05-01
442,750,0.0,1997-05-01
443,750,0.0,1997-05-01
444,750,0.0,1997-05-01
445,750,0.0,1997-05-01
446,750,0.0,1997-05-01
447,750,0.0,1997-05-01
448,750,0.0,1997-05-01
449,750,0.0,1997-05-01
450,750,0.0,1997-05-01
451,750,0.0,1997-05-01
452,750,0.0,1997-05-01
453,750,0.0,1997-05-01
454,750,0.0,1997-05-01
456,750,0.0,1997-05-01
457,750,0.0,1997-05-01
458,750,0.0,1997-05-01
459,750,0.0,1997-05-01
460,750,0.0,1997-05-01
461,750,0.0,1997-05-01
462,750,0.0,1997-05-01
463,750,0.0,1997-05-01
464,750,0.0,1997-05-01
524,750,0.0,1997-05-01
525,750,0.0,1997-05-01
526,750,0.0,1997-05-01
527,750,0.0,1997-05-01
528,750,0.0,1997-05-01
529,750,0.0,1997-05-01
530,750,0.0,1997-05-01
531,750,0.0,1997-05-01
532,750,0.0,1997-05-01
533,750,0.0,1997-05-01
534,750,0.0,1997-05-01
535,750,0.0,1997-05-01
539,750,0.0,1997-05-01
550,750,0.0,1997-05-01
552,750,0.0,1997-05-01
555,750,31.0,1997-05-01
555,751,31.0,2000-10-12
556,750,21.0,1997-05-01
556,751,21.0,2000-10-12
557,750,28.0,1997-05-01
557,751,28.0,2000-10-12
558,750,31.0,1997-05-01
558,751,31.0,2000-10-12
559,750,33.0,1997-05-01
559,751,33.0,2000-10-12
560,750,32.0,1997-05-01
560,751,32.0,2000-10-12
561,750,22.0,1997-05-01
561,751,22.0,2000-10-12
562,750,29.0,1997-05-01
562,751,29.0,2000-10-12
563,750,33.0,1997-05-01
563,751,33.0,2000-10-12
564,750,34.0,1997-05-01
564,751,34.0,2000-10-12
565,750,52.0,1997-05-01
565,751,32.0,2000-10-12
565,752,12.0,2000-10-12
565,758,8.0,2000-10-12
566,750,42.0,1997-05-01
566,751,29.0,2000-10-13
566,752,13.0,2000-10-13
567,750,46.0,1997-05-01
567,751,33.0,2000-10-13
567,752,13.0,2000-10-13
568,750,48.0,1997-05-01
568,751,34.0,2000-10-13
568,752,14.0,2000-10-13
569,750,0.0,1997-05-01
570,750,0.0,1997-05-01
571,750,0.0,1997-05-01
572,750,0.0,1997-05-01
573,750,0.0,1997-05-01
574,750,0.0,1997-05-01
575,750,0.0,1997-05-01
576,750,0.0,1997-05-01
577,750,0.0,1997-05-01
578,750,0.0,1997-05-01
579,750,0.0,1997-05-01
580,750,28.0,1997-05-01
580,751,28.0,2000-10-13
581,750,21.0,1997-05-01
581,751,21.0,2000-10-13
582,750,28.0,1997-05-01
582,751,28.0,2000-10-13
583,750,29.0,1997-05-01
583,751,29.0,2000-10-13
584,750,29.0,1997-05-01
584,751,29.0,2000-10-13
585,750,35.0,1997-05-01
585,751,35.0,2000-10-13
586,750,23.0,1997-05-01
586,751,23.0,2000-10-13
587,750,30.0,1997-05-01
587,751,30.0,2000-10-13
588,750,36.0,1997-05-01
588,751,36.0,1997-11-25
589,750,38.0,1997-05-01
589,751,38.0,2000-10-13
590,750,45.0,1997-05-01
590,751,28.0,2000-10-13
590,752,13.0,2000-10-13
590,758,4.0,2000-10-13
591,750,41.0,1997-05-01
591,751,28.0,2000-10-13
591,752,13.0,2000-10-13
592,750,42.0,1997-05-01
592,751,29.0,2000-10-12
592,752,13.0,2000-10-12
593,750,44.0,1997-05-01
593,751,29.0,2000-10-13
593,752,15.0,2000-10-13
594,750,56.0,1997-05-01
594,751,35.0,2000-10-13
594,752,11.0,2000-10-13
594,758,10.0,2000-10-13
595,750,42.0,1997-05-01
595,751,30.0,2000-10-13
595,752,12.0,2000-10-13
596,750,48.0,1997-05-01
596,751,36.0,2000-10-13
596,752,12.0,2000-10-13
597,750,52.0,1997-05-01
597,751,38.0,2000-10-13
597,752,14.0,2000-10-13
598,750,23.0,1997-05-01
598,751,23.0,2000-10-13
599,750,33.0,1997-05-01
599,751,33.0,2000-10-13
600,750,46.0,1997-05-01
600,751,33.0,2000-10-13
600,752,13.0,2000-10-13
601,750,12.0,1997-05-01
601,751,12.0,2000-10-13
602,750,17.0,1997-05-01
602,751,17.0,2000-10-13
603,750,27.0,1997-05-01
603,751,17.0,2000-10-13
603,752,10.0,2000-10-13
604,750,26.0,1997-05-01
604,751,26.0,2000-10-13
605,750,34.0,1997-05-01
605,751,34.0,2000-10-13
606,750,44.0,1997-05-01
