FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
213,213,2,0,"Spices, dill weed, fresh","Épices, aneth, frais",2012-06-29,,2045.0,Anethum graveolens
214,214,2,0,"Salt, table","Sel, table",2012-07-04,,2047.0,
215,215,2,0,"Spices, thyme, fresh","Épices, thym, frais",2012-06-29,,2049.0,Thymus vulgaris
216,216,2,0,Vanilla extract,"Vanille, extrait",2012-06-29,,2050.0,
217,217,2,0,"Vanilla extract, imitation, with alcohol","Vanille, extrait, imitation, avec alcool",2012-06-29,,2051.0,
218,218,2,0,"Vanilla extract, imitation, without alcohol","Vanille, extrait, imitation, sans alcool",2012-06-29,,2052.0,
219,219,20,20,"Grains, barley, malt extract, dried","Grains céréaliers, orge, malt, extrait, déshydraté",2012-07-31,,,
232,232,3,37,"Babyfood, snack, biscuit, mixed grain","Aliment pour bébé, grignotises, biscuit, mélange de grains",2026-01-28,,,
283,283,3,37,"Babyfood, cereal, barley, with milk powder, dry","Aliment pour bébé, céréale, orge, avec poudre de lait, sèche",2026-01-28,,,
285,285,3,37,"Babyfood, cereal, mixed grain, dry","Aliment pour bébé, céréale, mélange de grains, sèche",2026-01-28,,,
286,286,3,37,"Babyfood, cereal, mixed grain, prepared with formula or breast milk","Aliment pour bébé, céréale, mélange de grains, préparée avec préparation pour nourrissons ou lait maternel",2026-01-28,,,
287,287,3,37,"Babyfood, cereal, mixed grain, with milk powder and fruit, dry","Aliment pour bébé, céréale, mélange de grains, avec poudre de lait et fruits, sèche",2026-01-28,,,
291,291,3,37,"Babyfood, cereal, oat, dry","Aliment pour bébé, céréale, avoine, sèche",2026-01-28,,,
293,293,3,37,"Babyfood, cereal, rice, with milk powder and fruit, dry","Aliment pour bébé, céréale, riz, avec poudre de lait et fruits, sèche",2026-01-28,,,
394,394,3,37,"Babyfood, cereal, rice, dry","Aliment pour bébé, céréale, riz, sèche",2026-01-28,,,
414,414,4,0,"Animal fat, beef tallow","Gras animal, suif de boeuf (gras de boeuf)",2012-06-26,,4001.0,
415,415,4,0,"Sandwich spread, with chopped pickle, regular, unspecified oil","Tartinade pour sandwich, avec cornichons hachés, ordinaire, huile non spécifiée",2026-01-28,,4030.0,
416,416,4,0,"Vegetable oil, rice bran","Huile végétale, son de riz",2012-06-27,,4037.0,
417,417,4,0,"Vegetable oil, wheat germ","Huile végétale, germe de blé",2012-06-27,,4038.0,
418,418,4,0,"Vegetable oil, peanut","Huile végétale, arachide",2012-06-27,,4042.0,
419,419,4,0,"Vegetable oil, soybean","Huile végétale, soya",2012-06-27,,4044.0,
420,420,4,0,"Vegetable oil, coconut","Huile végétale, noix de coco",2012-06-26,,4047.0,
422,422,4,0,"Vegetable oil, olive","Huile végétale, olive",2012-06-27,,4053.0,
423,423,4,0,"Vegetable oil, palm","Huile végétale, palme",2012-06-26,,4055.0,
424,424,4,0,"Vegetable oil, sesame","Huile végétale, sésame",2012-06-27,,4058.0,
426,426,4,0,"Salad dressing, French, homemade, unspecified oil","Vinaigrette, Française, faite maison, huile non spécifiée",2026-01-28,,4133.0,
