FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry,MeasureDescription
147,376,0.9551999999999999,1999-06-16,
147,983,1.53212,2003-03-13,
147,383,1.19399,2004-07-07,
147,1489,1.25,2004-07-07,
150,341,1.02282,1999-06-16,
150,385,0.15342,2003-03-13,
150,415,2.55706,2003-03-13,
150,998,0.15,2003-03-13,
150,383,1.27852,2004-07-07,
151,341,1.01437,1999-06-16,
151,385,0.15215,2004-02-03,
151,415,2.53593,2003-03-13,
151,998,0.111,2003-03-13,
151,383,1.26796,2004-07-07,
152,341,0.9721,1999-06-16,
152,385,0.14582,2004-02-03,
152,415,2.43026,2003-03-13,
152,383,1.21513,2004-07-07,
152,428,0.29164,2004-09-02,
160,368,0.45647,1997-05-01,
160,348,0.5579,1997-05-01,
160,976,1.39475,2003-03-13,
160,977,1.1411799999999999,2003-03-13,
160,990,0.5,2003-03-13,
160,1454,0.3,2004-02-13,
164,987,1.75,2003-03-12,
164,341,0.73542,2004-05-03,
164,415,1.83855,2004-05-03,
164,383,0.91927,2004-07-07,
169,385,0.06081,1999-05-26,
169,439,0.01939,2003-03-14,
169,1484,0.005,2004-07-07,
170,439,0.021429999999999998,1997-05-01,
170,385,0.06791,1997-05-01,
170,1484,0.005,2004-07-07,
171,962,0.01429,2003-03-06,
171,963,0.04561,2003-03-06,
171,964,0.00714,2003-03-06,
171,965,0.02128,2023-05-26,
171,1484,0.005,2004-07-07,
172,1001,0.00612,1997-05-01,
172,1002,0.01824,1997-05-01,
172,1484,0.005,2005-02-10,
173,385,0.06791,2003-03-14,
173,439,0.021429999999999998,1997-05-01,
173,1484,0.005,2004-07-07,
174,439,0.020409999999999998,1997-05-01,
174,385,0.05878,1997-05-01,
174,1484,0.005,2004-07-07,
175,385,0.06588,2003-03-14,
175,439,0.020409999999999998,1997-05-01,
175,1484,0.005,2004-07-07,
176,439,0.00612,1997-05-01,
176,385,0.01926,2003-03-14,
176,1484,0.005,2004-07-07,
177,439,0.02653,1997-05-01,
177,385,0.07601,1997-05-01,
177,1484,0.005,2004-07-07,
178,439,0.02347,1997-05-01,
178,385,0.06892000000000001,1997-05-01,
178,1484,0.005,2004-07-07,
179,385,0.06594,2014-04-28,
179,439,0.02198,2014-04-28,
179,1484,0.005,2004-07-07,
179,341,0.43957999999999997,2014-04-28,
180,439,0.00612,1997-05-01,
180,385,0.01824,1997-05-01,
180,1484,0.005,2004-07-07,
181,439,0.01837,1997-05-01,
181,385,0.050679999999999996,1997-05-01,
181,1484,0.005,2004-07-07,
182,439,0.021429999999999998,1997-05-01,
182,385,0.06081,1997-05-01,
182,1484,0.005,2004-07-07,
183,385,0.06385,1997-05-01,
183,439,0.020409999999999998,1997-05-01,
183,1484,0.005,2004-07-07,
184,439,0.021429999999999998,1997-05-01,
184,385,0.06689,1997-05-01,
184,1484,0.005,2004-07-07,
185,439,0.0102,1997-05-01,
185,385,0.03142,1997-05-01,
185,1484,0.005,2004-07-07,
186,439,0.020409999999999998,1997-05-01,
186,385,0.05878,1997-05-01,
186,1484,0.005,2004-07-07,
187,439,0.037759999999999995,1997-05-01,
187,385,0.1125,1997-05-01,
187,1484,0.005,2004-07-07,
188,385,0.08514,1997-05-01,
188,439,0.02857,1997-05-01,
188,1484,0.005,2004-07-07,
189,439,0.01837,1997-05-01,
189,385,0.05473,1997-05-01,
189,1484,0.005,2004-07-07,
190,439,0.01735,1997-05-01,
190,385,0.05372,1997-05-01,
190,1484,0.005,2004-07-08,
191,439,0.00612,1997-05-01,
191,385,0.017230000000000002,1997-05-01,
191,1484,0.005,2004-07-07,
192,385,0.11351000000000001,1997-05-01,
192,439,0.03367,1997-05-01,
192,1484,0.005,2004-07-07,
193,439,0.02245,1997-05-01,
193,385,0.07095,1997-05-01,
193,1484,0.005,2004-07-07,
194,439,0.024489999999999998,2003-03-06,
194,385,0.06993,2003-03-06,
194,1484,0.005,2004-07-07,
195,439,0.015309999999999999,1997-05-01,
195,385,0.04561,1997-05-01,
195,1484,0.005,2004-07-07,
196,439,0.021429999999999998,1997-05-01,
196,385,0.06993,1997-05-01,
196,1484,0.005,2004-07-07,
197,439,0.00306,1997-05-01,
197,385,0.01318,1997-05-01,
197,1484,0.005,2004-07-07,
198,1641,0.06999,2014-05-01,
198,502598,0.023330000000000004,2014-05-01,
198,1484,0.005,2004-07-07,
198,1005,0.001,2014-05-01,
198,379,0.58835,2014-05-01,
198,502517,0.08825,2014-05-01,
198,502599,0.02942,2014-05-01,
199,439,0.01837,1997-05-01,
199,385,0.05372,1997-05-01,
199,1484,0.005,2004-07-07,
200,439,0.024489999999999998,1997-05-01,
200,385,0.07196,1997-05-01,
200,1484,0.005,2004-07-07,
201,439,0.02857,1997-05-01,
201,385,0.08919,1997-05-01,
201,1484,0.005,2004-07-07,
202,439,0.015309999999999999,1997-05-01,
202,385,0.0375,1997-05-01,
202,1484,0.005,2004-07-07,
203,439,0.01735,1997-05-01,
203,385,0.056760000000000005,1997-05-01,
203,1484,0.005,2004-07-07,
204,385,0.03345,1997-05-01,
204,439,0.01224,1997-05-01,
204,1484,0.005,2004-07-07,
205,439,0.00714,1997-05-01,
205,385,0.02128,1997-05-01,
205,1484,0.005,2004-07-07,
206,385,0.02027,1997-05-01,
206,439,0.00714,1997-05-01,
206,1484,0.005,2004-07-07,
207,439,0.01429,1997-05-01,
207,385,0.04459,1997-05-01,
207,1484,0.005,2004-07-07,
209,962,0.01633,2023-05-26,
209,963,0.04865,2023-05-26,
209,964,0.00612,2003-03-06,
209,965,0.01824,2003-03-06,
209,1484,0.005,2004-07-07,
210,962,0.01429,1997-05-01,
210,963,0.043579999999999994,1997-05-01,
210,964,0.0102,2004-02-11,
210,965,0.027370000000000002,2003-03-06,
210,1484,0.005,2004-07-07,
211,439,0.02245,1997-05-01,
211,385,0.06892000000000001,1997-05-01,
211,1484,0.005,2004-07-07,
212,428,0.030430000000000002,2015-02-16,
212,436,0.025,1997-05-01,
212,1484,0.005,2004-07-07,
213,635,0.01,1997-05-01,
